month,category,total_debit,total_credit
2024-11,Transfers & P2P,56421.5,0.0
2024-11,Family Support,13000.0,0.0
2024-11,Utilities & Bills,8350.0,0.0
2024-11,Uncategorized,3000.0,0.0
2024-11,Food & Drinks,2610.75,0.0
2024-11,Bank Charges,161.26999999999998,0.0
2024-11,Car & Transport,10.75,0.0
2025-01,Family Support,39900.0,0.0
2025-01,Transfers & P2P,2021.5,0.0
2025-01,Bank Charges,359.77,0.0
2025-01,Car & Transport,26.88,0.0
2025-02,Transfers & P2P,20032.25,0.0
2025-02,Family Support,3000.0,0.0
2025-02,Bank Charges,390.39,0.0
2025-02,Car & Transport,26.88,0.0
2025-02,Food & Drinks,10.75,0.0
2025-03,Transfers & P2P,21159.13,0.0
2025-03,Uncategorized,1700.0,0.0
2025-03,Bank Charges,322.54,0.0
2025-03,Family Support,26.88,0.0
